ano,mês,dia,hora,Rn,Gmedio,T_z1,UR_z1
2009,1,1,530,-30945,-11.9725,23.7393755701563,95.7915528690828
2009,1,1,600,-15755,-12045,23.7647233311117,95.8420779532097
2009,1,1,630,39.11,-8.85325,24.0334095972394,95.0336766071776
2009,1,1,700,49375,-3.29,24.9053725741068,91.2442952976518
2009,1,1,730,136.45,-0.2935,25.828031072885,87.9601648293961
2009,1,1,800,232.7,4.91325,27.0447235987464,83.059231669076
2009,1,1,830,193.7,10.2075,27.8609215015118,79.2193252754232
2009,1,1,900,238.95,12.44,28.0738426935375,78.208823592883
2009,1,1,930,424.3,17.3425,29.011709848889,75.6320443024054
2009,1,1,1000,537.25,21625,30.4210453580118,71.6910877404986
2009,1,1,1030,333.25,19475,30.2436110313237,68.3059071039889
2009,1,1,1100,298,19.0625,30.0306898392979,66.9164672904961
2009,1,1,1130,401.7,20.71,30.7961922201524,64.9459890095426
2009,1,1,1200,580.7,22.15,31.4248166918474,60.646304350334
2009,1,1,1230,639.5,32.9825,32.0483716113514,59.2821270789047
2009,1,1,1300,616.75,33735,32.2612928033771,56.7558728725542
2009,1,1,1330,730.75,31785,32.9304736926009,56.4830374182683
2009,1,1,1400,542.65,27.5525,32.9456823491742,56.589140094935
2009,1,1,1430,526,30.2925,33.5286808511494,56.4426173509667
2009,1,1,1500,425.5,25.9925,32.9507519013653,55.6190584796964
2009,1,1,1530,507.85,19.7725,32.4742139954029,56.14957186303
2009,1,1,1600,434.85,13.6475,33.1383253324356,52.9867015966792
2009,1,1,1630,343.75,8439,33.4830548814296,51.6073668000118
2009,1,1,1700,284.35,5.64325,34.0204274136851,50.9555932147733
2009,1,1,1730,162.2,2.71375,34.0102883093029,50.8292805044558
2009,1,1,1800,50935,-335,33.0217256320405,54.2296186662036
2009,1,1,1830,-13803,-4.28775,29.523734620189,68.5534800162112
2009,1,1,1900,-32.59,-9505,28.4084331381494,70.6098509401806
2009,1,2,530,-30.4,-13.1225,24.2868872067939,95.0842016913046
2009,1,2,600,-7181,-12.36,24.692451382081,93.5179240833673
2009,1,2,630,36535,-8.51475,25.2095457055721,92.6084725690811
2009,1,2,700,122.9,-2.75225,27.0345844943642,86.8486129786018
2009,1,2,730,208,6.3915,27.9268256799959,83.210806921457
2009,1,2,800,249.15,9.2625,28.5807979126464,80.0277266214554
2009,1,2,830,381.5,12.1625,29.6251256640108,75.8341446389135
2009,1,2,900,488.3,17985,30.5122972974514,70.7159536168473
2009,1,2,930,541.65,15.0425,30.6086187890821,69.2658837024021
2009,1,2,1000,583.5,15615,31.2524519173504,66.1484860117655
2009,1,2,1030,688.55,18.6075,31.967258776294,62.9502481865257
2009,1,2,1100,728.5,21855,32.4843530997851,60.9545073635088
2009,1,2,1130,684.9,20415,32.4387271300653,59.4993849406509
2009,1,2,1200,837.5,18.61,32.4285880256831,58.8223488133489
2009,1,2,1230,705.95,33.3725,32.7986653356326,56.3314621658873
2009,1,2,1300,826,43.6275,33.1839513021554,56.1950444387444
2009,1,2,1330,591.95,28055,32.9862387667029,54.6388718476324
2009,1,2,1400,274.2,-5.53175,27.4300095652692,71.4131997778
2009,1,2,1430,562.8,15.25,30.5579232671712,54.376141410172
2009,1,2,1500,706.65,33.45,32.3373360862435,55.118860146839
2009,1,2,1530,481,32285,32.9811692145118,57.1499685287449
2009,1,2,1600,387.5,18.9925,33.0825602583336,59.5246474827144
2009,1,2,1630,153.75,10.2125,32.4539357866385,63.5919167549387
2009,1,2,1700,102.15,4817,31.510999079096,59.9490581893813
2009,1,2,1730,60.49,-2.78675,30.7911226679613,56.5739825696969
2009,1,2,1800,25.9,-5.82275,31.1459913213375,52.7997587854092
2009,1,2,1830,-22385,-8.7575,30.7404271460504,56.9983932763638
2009,1,2,1900,-36095,-11.6375,29.6859602903039,69.1850435677989
2009,1,3,530,-14315,-12.7125,24.3933478028068,90.3853688674926
2009,1,3,600,-7747,-11.7025,24.6011994426414,89.4759173532064
2009,1,3,630,23455,-9266,24.7177991430365,89.0211915960633
2009,1,3,700,48245,-5.0735,25.1537806314701,87.2022885674909
2009,1,3,730,61.78,-1.67625,25.4630233151266,87.657014324634
2009,1,3,800,125.65,1.28275,25.6049707764771,88.0612149976501
2009,1,3,830,215.4,6532,26.7456200194721,82.6045059119329
2009,1,3,900,269.9,7794,27.4046618043137,79.7751012008203
2009,1,3,930,320.45,13.46,28.0890513501108,76.6930710690727
2009,1,3,1000,366.25,15.8825,28.4135026903405,75.2278436293893
2009,1,3,1030,518.2,18.6975,28.8748319397296,74.5710175357382
2009,1,3,1100,490.2,20.46,29.2550483540613,72.0952884135147
2009,1,3,1130,547.15,18615,29.4426217851316,72.4994890865308
2009,1,3,1200,840,22845,30.3551411795276,67.9673890403379
2009,1,3,1230,714.25,29.0025,30.1929155094128,67.7046586028774
2009,1,3,1300,39.94,17.0955,28.4388504512959,73.7929312401822
2009,1,3,1330,96.95,-5535,25.0270418266929,85.9391614643156
2009,1,3,1400,37.61,-8.38375,25.3768409278781,88.6675160071742
